ward,booth,street,total_voters,notice_delivered
WARD 10,Booth # 084,பரத நகர்,1072,0
WARD 10,Booth # 085,மருதங்குளம்,598,0
WARD 10,Booth # 086,சம்பாகுளம் விசலம்,293,0
WARD 10,Booth # 086,சூர்யா நகர் தைமோகம்பிகை நகர்,625,0
WARD 10,Booth # 089,Street Not Found,1,0
WARD 10,Booth # 089,கர்பக நகர் 11வது தெரு,149,0
WARD 10,Booth # 089,கர்பக நகர் 12வது தெரு,95,0
WARD 10,Booth # 089,கர்பக நகர் 13வது தெரு,174,0
WARD 10,Booth # 089,கர்பக நகர் 14வது தெரு,229,0
WARD 10,Booth # 089,கர்பக நகர் 15வது தெரு,154,0
WARD 10,Booth # 089,கர்பக நகர் 16வது தெரு,60,0
WARD 10,Booth # 093,அலாகர் நகர் 1வது தெரு,113,0
WARD 10,Booth # 093,அலாகர் நகர் 2வது தெரு,151,0
WARD 10,Booth # 093,அலாகர் நகர் 3வது தெரு,115,0
WARD 10,Booth # 093,அலாகர் நகர் 4வது தெரு,90,0
WARD 10,Booth # 093,அலாகர் நகர் 5வது தெரு,562,0
WARD 10,Booth # 094,Street Not Found,1,0
WARD 10,Booth # 094,அலாகர் நகர் 1வது குறுக்கு தெரு,18,0
WARD 10,Booth # 094,அலாகர் நகர் 3வது குறுக்கு தெரு,47,0
WARD 10,Booth # 094,அலாகர் நகர் 4வது குறுக்கு தெரு,14,0
WARD 10,Booth # 094,அலாகர் நகர் 5வது குறுக்கு தெரு,77,0
WARD 10,Booth # 094,அலாகர் நகர் 5வது தெரு விரிவு,182,0
WARD 10,Booth # 094,அலாகர் நகர் 6வது தெரு,354,0
WARD 10,Booth # 094,அலாகர் நகர் 7வது குறுக்கு தெரு,51,0
WARD 10,Booth # 094,அலாகர் நகர் 7வது தெரு,201,0
WARD 10,Booth # 095,அலாகர் கோவில் முக்கிய வீதி,258,39
WARD 10,Booth # 095,இ.மு.ஜி. நகர் 1வது குறுக்கு தெரு,10,2
WARD 10,Booth # 095,இ.மு.ஜி. நகர் 1வது தெரு,83,32
WARD 10,Booth # 095,இ.மு.ஜி. நகர் 2வது குறுக்கு தெரு,51,19
WARD 10,Booth # 095,இ.மு.ஜி. நகர் 2வது தெரு,187,71
WARD 10,Booth # 095,இ.மு.ஜி. நகர் 3வது குறுக்கு தெரு,45,18
WARD 10,Booth # 095,இ.மு.ஜி. நகர் 3வது தெரு,28,13
WARD 10,Booth # 095,இ.மு.ஜி. நகர் 4வது குறுக்கு தெரு,57,15
WARD 10,Booth # 096,கர்பக நகர் 1வது தெரு,89,0
WARD 10,Booth # 096,கர்பக நகர் 2வது தெரு,101,0
WARD 10,Booth # 096,கர்பக நகர் 3வது தெரு,185,0
WARD 10,Booth # 096,கர்பக நகர் 4வது தெரு,155,0
WARD 10,Booth # 096,கர்பக நகர் 5வது தெரு,196,0
WARD 10,Booth # 096,கர்பக நகர் முக்கிய 1வது குறுக்கு தெரு,48,0
WARD 10,Booth # 096,சைதியலார் நகர்,275,0
WARD 10,Booth # 097,Street Not Found,1,0
WARD 10,Booth # 097,கர்பக நகர் 10வது தெரு,123,0
WARD 10,Booth # 097,கர்பக நகர் 6வது தெரு,294,0
WARD 10,Booth # 097,கர்பக நகர் 7வது தெரு,195,0
WARD 10,Booth # 097,கர்பக நகர் 8வது தெரு,131,0
WARD 10,Booth # 097,கர்பக நகர் 9வது தெரு,214,0
WARD 10,Booth # 097,கவிதா நகர்,47,0
WARD 10A,Booth # 082,Street Not Found,1,0
WARD 10A,Booth # 082,அந்தனேரி கிராமம்,421,0
WARD 10A,Booth # 082,அலாகர் கோவில் முக்கிய வீதி மூன்றுமாவடி,142,0
WARD 10A,Booth # 082,ஜவஹரலால் புரம்,370,0
WARD 10A,Booth # 083,அந்தனேரி கன்மைக்கரை,1137,0
WARD 10A,Booth # 087,கொடிகுளம் 1வது தெரு,852,0
WARD 10A,Booth # 087,கொடிகுளம் 2வது தெரு,120,0
WARD 10A,Booth # 088,அனந்தராஜ் நகர்,276,0
WARD 10A,Booth # 088,அருண்ததியார் நகர்,2,0
WARD 10A,Booth # 088,விஜய் நகர்,36,0
WARD 10A,Booth # 090,சம்பாகுளம் 1வது தெரு,720,0
WARD 10A,Booth # 090,சம்பாகுளம் 2வது தெரு,170,0
WARD 10A,Booth # 090,சம்பாகுளம் 3வது தெரு,279,0
WARD 10A,Booth # 091,கணேஷ் நகர்,258,0
WARD 10A,Booth # 091,சத்திய நகர்,638,0
WARD 10A,Booth # 091,மாரியம்மன் கோவில் தெரு,267,0
WARD 10A,Booth # 092,இ.பி.நகர்,257,0
WARD 10A,Booth # 092,சம்பாகுளம் 4வது தெரு,153,0
WARD 10A,Booth # 092,விவேகநந்தா நகர்,400,0
WARD 12,Booth # 106,லோர்து நகர் 1வது தெரு,208,0
WARD 12,Booth # 106,லோர்து நகர் 2வது தெரு,305,0
WARD 12,Booth # 106,லோர்து நகர் 3வது தெரு,186,0
WARD 12,Booth # 106,லோர்து நகர் கிழக்கு முக்கிய வீதி 1வது மேற்கு குறுக்கு தெரு,255,0
WARD 12,Booth # 107,லோர்து நகர் 4வது தெரு,149,0
WARD 12,Booth # 107,லோர்து நகர் 5வது தெரு,121,0
WARD 12,Booth # 107,லோர்து நகர் 6வது தெரு,178,0
WARD 12,Booth # 107,லோர்து நகர் 7வது தெரு,342,0
WARD 12,Booth # 107,லோர்து நகர் மேற்கு முக்கிய வீதி,236,0
WARD 12,Booth # 108,Street Not Found,1,0
WARD 12,Booth # 108,அலாகர் கோவில் முக்கிய வீதி,38,0
WARD 12,Booth # 108,லோர்து நகர் 7வது தெரு 10வது குறுக்கு தெரு,117,0
WARD 12,Booth # 108,லோர்து நகர் 7வது தெரு 1வது குறுக்கு தெரு,176,0
WARD 12,Booth # 108,லோர்து நகர் 7வது தெரு 2வது குறுக்கு தெரு,77,0
WARD 12,Booth # 108,லோர்து நகர் 7வது தெரு 3வது குறுக்கு தெரு,107,0
WARD 12,Booth # 108,லோர்து நகர் 7வது தெரு 7வது குறுக்கு தெரு,66,0
WARD 12,Booth # 108,லோர்து நகர் 7வது தெரு 8வது குறுக்கு தெரு,46,0
WARD 12,Booth # 108,லோர்து நகர் 7வது தெரு 9வது குறுக்கு தெரு,73,0
WARD 12,Booth # 108,லோர்து நகர் 8வது தெரு,152,0
WARD 12,Booth # 108,லோர்து நகர் 8வது தெரு 2வது குறுக்கு தெரு,27,0
WARD 12,Booth # 110,மேற்கு விசலம் லோர்து நகர்,153,0
WARD 12,Booth # 110,லோர்து நகர் 2வது தெரு மேற்கு முக்கியம்,164,0
WARD 12,Booth # 110,லோர்து நகர் 7வது தெரு 4வது குறுக்கு தெரு,97,0
WARD 12,Booth # 110,லோர்து நகர் 7வது தெரு 5வது குறுக்கு தெரு,101,0
WARD 12,Booth # 110,லோர்து நகர் 7வது தெரு 6வது குறுக்கு தெரு,74,0
WARD 12,Booth # 110,லோர்து நகர் 9வது தெரு,264,0
WARD 12,Booth # 110,லோர்து நகர் 9வது தெரு 7வது தெரு 2வது குறுக்கு தெரு,45,0
WARD 12,Booth # 122,Street Not Found,1,0
WARD 12,Booth # 122,சவடி தெரு,96,0
WARD 12,Booth # 122,நரயணாச்சி தெரு,240,0
WARD 12,Booth # 122,பரதியார் 2வது தெரு,192,0
WARD 12,Booth # 122,பாரதியார் 1வது தெரு,319,0
WARD 12,Booth # 129,Street Not Found,1,0
WARD 12,Booth # 129,உலகநாதன் சேவாய் லேன்,393,0
WARD 12,Booth # 129,பரதியார் 1வது லேன்,135,0
WARD 12,Booth # 129,மரியம்மன் கோவில் 1வது தெரு,157,0
WARD 12,Booth # 129,வோசி தெரு,172,0
WARD 12,Booth # 131,காந்திபுரம் 1வது தெரு,152,0
WARD 12,Booth # 131,காந்திபுரம் 2வது தெரு,149,0
WARD 12,Booth # 131,பரதியார் முக்கிய வீதி,302,0
WARD 12,Booth # 132,கணேஷாபுரம்,279,0
